index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024917.1,1,1514,1,1377,90.9511,0.909511,15.6,1.0,1286820,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.9095112285336856,0.28688073080085613,0.31542296763434724,0.02
1,NR_025230.1,1,1411,2,1399,99.1495,1.91283,19.2,6.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,1.9128277817150956,0.3107771484007051,0.1624700097789533,0.04
2,NR_025514.1,1,1518,267,1508,99.3412,249.742,19.1,33.5,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,249.7417654808959,42.634648920598956,0.17071493363756296,5.45
3,NR_025525.1,1,1475,1,1397,94.7119,0.947119,19.4,60.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.9471186440677966,0.22379659990038914,0.23629204355982392,0.02
4,NR_025567.1,1,1498,17,1455,97.1295,16.0334,19.6,6.18,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,16.033377837116156,2.9745618326443397,0.18552309206849948,0.35
5,NR_025796.1,1,1435,4,1346,93.7979,3.62509,19.2,4.5,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,3.625087108013937,1.0149739064329324,0.27998607376610113,0.08
6,NR_025981.1,1,1477,6,1413,95.6669,5.3067,18.6,7.33,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,5.306702775897088,1.4833911547149818,0.2795316069806109,0.12
7,NR_026100.1,1,1499,7,1455,97.0647,6.63576,20.4,5.14,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,6.635757171447632,1.2901648320800836,0.1944261670139786,0.14
8,NR_026312.1,1,1482,1,1044,70.4453,0.704453,20.1,33.0,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,0.7044534412955465,0.4562880563223296,0.6477192523656058,0.02
9,NR_026314.1,1,1458,1,1236,84.7737,0.847737,15.0,1.0,53443,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.8477366255144033,0.35927599318053016,0.4238061472954797,0.02
