index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024815.1,1,1490,13,1448,97.1812,11.7309,17.9,8.46,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella shahii,11.730872483221477,2.3617590796231553,0.20132851013436132,0.17
1,NR_025230.1,1,1411,21,1411,100.0,19.5067,19.6,2.95,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,19.50673281360737,2.587749315326545,0.1326592894901088,0.28
2,NR_025514.1,1,1518,297,1493,98.3531,278.142,19.1,30.1,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,278.14163372859025,47.33978979106988,0.17020030103534914,3.9
3,NR_025518.1,1,1494,106,1448,96.921,97.5147,20.1,42.2,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,97.51472556894244,21.367711632898228,0.21912292228922245,1.39
4,NR_025525.1,1,1475,1,1395,94.5763,0.945763,20.8,39.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.9457627118644067,0.2264853300134253,0.2394737360357006,0.01
5,NR_025567.1,1,1498,18,1475,98.4646,16.8825,19.3,5.33,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,16.882510013351133,3.1027488740901457,0.18378480875393588,0.24
6,NR_025796.1,1,1435,3,1346,93.7979,2.73659,21.4,3.67,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.7365853658536587,0.7616364503054786,0.2783163499333745,0.04
7,NR_025934.1,1,1470,1,1433,97.483,0.97483,22.2,32.0,2718,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium hominis,0.9748299319727891,0.15664142396797986,0.16068589897622498,0.01
8,NR_025981.1,1,1477,7,1425,96.4794,6.19905,17.4,4.57,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,6.199052132701421,1.5628296371009458,0.2521078390124615,0.09
9,NR_026100.1,1,1499,14,1449,96.6644,13.2362,20.3,3.36,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,13.236157438292194,2.604506827617553,0.1967721251246768,0.18
10,NR_026106.1,1,1489,1,1131,75.957,0.75957,17.7,1.0,29322,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.7595701813297515,0.4273444991624925,0.5626135802413363,0.01
11,NR_026331.1,1,1488,98,1488,100.0,93.4147,19.6,7.91,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,93.41465053763442,12.309984818104413,0.13177788224069872,1.29
