index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024570.1,1,1450,7,1421,98.0,6.55103,16.9,1.0,562,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,6.551034482758621,1.1575013065534756,0.17668985098458148,0.05
1,NR_024896.1,1,1504,1,1385,92.0878,0.920878,17.5,1.0,85401,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia glucosida,0.9208776595744681,0.26992961243835095,0.2931221206550757,0.01
2,NR_025206.1,1,1449,1,1273,87.8537,0.878537,16.8,1.0,180286,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Hespellia,Hespellia porcina,0.8785369220151829,0.3266646578240014,0.3718280354964478,0.01
3,NR_025230.1,1,1411,10,1411,100.0,9.34373,17.5,1.9,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,9.343727852586818,1.222947373135685,0.13088431003446993,0.08
4,NR_025514.1,1,1518,446,1504,99.0777,417.441,18.8,39.4,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,417.44137022397894,71.46218161023373,0.17119094250742461,3.41
5,NR_025518.1,1,1494,1,1388,92.905,0.92905,20.8,0.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.92904953145917,0.25674208761842215,0.27634919229245153,0.01
6,NR_025567.1,1,1498,3,1454,97.0628,2.76969,20.0,3.67,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,2.7696929238985315,0.603474618065689,0.2178850272023143,0.02
7,NR_025569.1,1,1494,12,1469,98.3266,11.0207,17.2,3.42,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,11.020749665327978,1.8276393433041782,0.1658362088610047,0.09
8,NR_025796.1,1,1435,2,1340,93.3798,1.78885,16.7,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.7888501742160279,0.5467812707473056,0.30566074153579414,0.02
9,NR_025863.1,1,1411,6,1394,98.7952,5.74628,20.0,58.0,46125,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,5.7462792345854,0.8581819351766927,0.14934567224152853,0.05
10,NR_025903.1,1,1537,1,1418,92.2576,0.922576,15.6,1.0,1379,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella haemolysans,0.9225764476252439,0.2672623166711499,0.28969124169503346,0.01
