index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,1,1309,92.7711,0.927711,21.4,1.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.927710843373494,0.25896608747234423,0.2791452631195399,0.01
1,NR_025514.1,1,1518,103,1507,99.2754,95.9631,19.3,37.5,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,95.9631093544137,16.580460866891748,0.172779529325757,1.45
2,NR_025525.1,1,1475,1,1360,92.2034,0.922034,16.7,41.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.9220338983050848,0.2681182363835268,0.2907899990188985,0.01
3,NR_025567.1,1,1498,19,1458,97.3298,17.8758,19.7,6.0,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,17.875834445927904,3.3054255281064093,0.18491027862810522,0.27
4,NR_025796.1,1,1435,1,1293,90.1045,0.901045,16.9,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.9010452961672474,0.2986011895859155,0.3313942049928761,0.01
5,NR_025863.1,1,1411,1,1348,95.5351,0.955351,17.4,41.0,46125,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.9553508150248051,0.20653240727848274,0.21618488625366405,0.01
6,NR_025903.1,1,1537,2,1472,95.771,1.86337,20.8,8.5,1379,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella haemolysans,1.863370201691607,0.4500471618134784,0.24152321498160487,0.03
7,NR_025904.1,1,1536,3,1473,95.8984,2.79427,18.9,1.0,29391,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum,2.7942708333333335,0.6490124626301932,0.23226541067101042,0.04
8,NR_025981.1,1,1477,3,1416,95.87,2.68585,16.4,16.3,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,2.6858496953283684,0.7145997827080709,0.2660609727904766,0.04
9,NR_026045.1,1,1455,19,1440,98.9691,18.257,19.6,1.84,553,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea ananatis,18.257044673539518,2.08180883747883,0.11402770134511736,0.27
10,NR_026100.1,1,1499,63,1449,96.6644,59.05,19.9,2.62,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,59.05003335557038,11.471205576157569,0.19426247411383474,0.89
11,NR_026312.1,1,1482,1,1198,80.8367,0.808367,16.0,41.0,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,0.8083670715249662,0.39358575837943727,0.4868898947565326,0.01
12,NR_026331.1,1,1488,1,1432,96.2366,0.962366,23.1,0.0,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.9623655913978495,0.1903104303271808,0.19775273765841134,0.01
13,NR_026409.1,1,1495,14,1476,98.7291,13.2268,19.4,1.71,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,13.226755852842809,2.287983699378028,0.17298147216396037,0.2
14,NR_026493.1,1,1488,36,1463,98.3199,34.1976,19.7,3.03,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,34.19758064516129,5.5075651350315065,0.16105130921917388,0.51
15,NR_028667.1,1,1548,2,1461,94.3798,1.66602,16.6,27.0,224030,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus succinus,1.6660206718346253,0.5786538147275733,0.34732691167052476,0.03
16,NR_028796.1,1,1491,1,1446,96.9819,0.969819,22.5,35.0,135083,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas noxia,0.9698189134808853,0.17108532530769646,0.1764095574230812,0.01
17,NR_028847.1,1,1493,2,1452,97.2539,1.76557,17.7,49.0,194702,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium valvarum,1.765572672471534,0.4841426747503548,0.2742128275425947,0.03
18,NR_028862.1,1,1537,4,1493,97.1373,3.79766,20.0,60.0,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,3.797657774886142,0.7169622391053245,0.1887906392847154,0.06
19,NR_029097.1,1,1374,105,1322,96.2154,96.7933,19.9,3.04,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,96.79330422125182,20.87868365460524,0.2157038012348497,1.48
20,NR_029171.1,1,1484,1,1417,95.4852,0.954852,20.6,60.0,714,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,0.9548517520215634,0.20762919756843987,0.217446527305268,0.01
21,NR_029356.1,1,1550,4,1454,93.8065,3.68,21.3,18.8,292800,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,3.68,0.9887365675446607,0.26867841509365775,0.06
22,NR_036800.1,1,1481,6,1450,97.9068,5.72451,19.5,46.5,411470,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter gnavus,5.724510465901418,0.9432228394392433,0.16476917022995038,0.08
