index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025206.1,1,1449,1,1292,89.1649,0.891649,14.3,1.0,180286,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Hespellia,Hespellia porcina,0.8916494133885439,0.31082267773187033,0.34859292572250783,0.01
1,NR_025230.1,1,1411,3,1385,98.1573,2.7803,16.7,1.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,2.780297661233168,0.5696631820840947,0.20489287533027217,0.04
2,NR_025514.1,1,1518,475,1512,99.6047,447.215,19.7,35.5,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,447.2154150197629,75.98908873587983,0.16991607664624397,5.93
3,NR_025525.1,1,1475,2,1429,96.8814,1.84203,16.9,55.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,1.8420338983050848,0.44202453977822975,0.2399654752200548,0.02
4,NR_025567.1,1,1498,35,1478,98.6649,32.9846,19.7,7.26,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,32.98464619492657,5.936729536125348,0.179984635913375,0.44
5,NR_025796.1,1,1435,2,1322,92.1254,1.7784,18.6,3.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.778397212543554,0.5744443238875172,0.3230123843176282,0.02
6,NR_025981.1,1,1477,8,1455,98.5105,7.05349,18.2,1.25,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,7.053486797562627,1.5773392195516747,0.22362545855997537,0.1
7,NR_026100.1,1,1499,42,1455,97.0647,39.1694,20.7,1.57,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,39.169446297531685,7.6262319246923935,0.1946984868451656,0.52
8,NR_026106.1,1,1489,4,1427,95.8361,3.51847,16.6,1.0,29322,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,3.5184687709872398,0.9570150695696277,0.27199760232662257,0.05
9,NR_026312.1,1,1482,1,1235,83.3333,0.833333,19.7,27.0,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,0.8333333333333334,0.3726779962499593,0.4472135954999511,0.01
10,NR_026314.1,1,1458,3,1454,99.7257,2.77435,16.1,15.3,53443,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,2.7743484224965704,0.5056339859128633,0.1822532389273065,0.04
11,NR_026330.1,1,1474,1,1404,95.251,0.95251,18.9,1.0,53442,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.9525101763907734,0.21268413260699892,0.2232880423523621,0.01
