index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024815.1,1,1490,2,1444,96.9128,1.87919,18.0,12.0,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella shahii,1.8791946308724832,0.4098248386328428,0.21808536055819136,0.02
1,NR_025230.1,1,1411,65,1411,100.0,61.2247,18.9,2.25,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,61.224663359319635,6.297591685021431,0.10286037259301337,0.57
2,NR_025514.1,1,1518,500,1508,99.3412,469.1,19.7,34.2,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,469.1001317523057,79.20532006914299,0.1688452309174899,4.37
3,NR_025518.1,1,1494,637,1464,97.992,588.204,19.6,41.5,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,588.2041499330657,128.27033538040496,0.2180711159467362,5.57
4,NR_025567.1,1,1498,27,1458,97.3298,25.4279,20.5,12.2,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,25.427903871829105,4.711908160904034,0.18530462379654625,0.24
5,NR_025569.1,1,1494,1,1385,92.7041,0.927041,19.1,1.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.9270414993306559,0.2600683714899308,0.2805358462136871,0.01
6,NR_025796.1,1,1435,1,1277,88.9895,0.889895,17.4,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.8898954703832752,0.3130200028346486,0.3517491809457484,0.01
7,NR_025981.1,1,1477,13,1453,98.3751,11.5396,18.5,4.69,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,11.539607312119161,2.954511023980093,0.2560321979827856,0.11
8,NR_026075.1,1,1468,6,1417,96.5259,4.85559,17.4,2.83,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,4.855585831062671,1.6969647924863267,0.3494871373975768,0.05
9,NR_026100.1,1,1499,37,1461,97.465,34.6965,20.3,1.24,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,34.69646430953969,6.602246128643587,0.19028584785304245,0.32
10,NR_026314.1,1,1458,1,1386,95.0617,0.950617,17.0,1.0,53443,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.9506172839506173,0.21666578734301678,0.2279211529192774,0.01
