index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024841.1,1,1460,5,1446,99.0411,4.80411,19.0,1.6,888807,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,4.804109589041096,0.6367594234345572,0.13254473313579318,0.03
1,NR_024842.1,1,1513,1,1434,94.7786,0.947786,18.3,1.0,760570,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasanguinis,0.9477858559153999,0.22245859669186377,0.23471398660724538,0.01
2,NR_025230.1,1,1411,23,1410,99.9291,21.6322,19.5,2.3,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,21.632175761871014,2.703660434513428,0.12498328713096507,0.15
3,NR_025514.1,1,1518,420,1508,99.3412,392.926,18.6,39.1,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,392.92555994729906,66.88233521897916,0.17021630058362638,2.7
4,NR_025567.1,1,1498,54,1471,98.1976,50.3805,19.2,7.61,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,50.380507343124165,9.257015194796931,0.1837420002889334,0.35
5,NR_025796.1,1,1435,3,1401,97.6307,2.73868,16.5,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.7386759581881535,0.6296968378040741,0.22992747131013902,0.02
6,NR_025863.1,1,1411,56,1411,100.0,52.9794,18.7,52.6,46125,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,52.97944720056697,7.338741405775788,0.13852053567099604,0.36
7,NR_025903.1,1,1537,27,1478,96.1614,25.0468,19.4,3.93,1379,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella haemolysans,25.046844502277164,5.260094375625967,0.2100102619772219,0.17
8,NR_025904.1,1,1536,22,1496,97.3958,20.4095,19.1,2.0,29391,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum,20.409505208333332,4.198013948207849,0.20568915832872678,0.14
9,NR_025981.1,1,1477,62,1463,99.0521,55.2668,18.6,6.44,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,55.26675693974272,13.467403354955906,0.24368000043207527,0.4
10,NR_026100.1,1,1499,226,1469,97.9987,210.648,19.5,2.36,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,210.64843228819214,40.36811702889908,0.1916373959701285,1.45
11,NR_026106.1,1,1489,1,1359,91.2693,0.912693,16.2,1.0,29322,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.9126930826057756,0.2822842885626887,0.3092872006400615,0.01
12,NR_026312.1,1,1482,7,1371,92.5101,5.58772,17.3,8.57,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,5.587719298245614,2.0963782938430233,0.3751760211901172,0.05
13,NR_026409.1,1,1495,74,1474,98.5953,69.2602,18.8,1.86,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,69.26020066889632,11.981808450271405,0.17299702187626276,0.48
14,NR_026454.1,1,1383,1,930,67.2451,0.672451,16.7,40.0,137733,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella balaenopterae,0.6724511930585684,0.46931927939588797,0.6979231864564656,0.01
15,NR_026493.1,1,1488,114,1479,99.3952,107.427,19.0,4.19,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,107.42674731182795,17.198946881382636,0.16009929846855736,0.73
16,NR_026494.1,1,1499,6,1454,96.998,5.41027,17.0,0.667,84030,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,5.410273515677118,1.2066863386366362,0.2230361062412229,0.04
18,NR_027579.1,1,1402,1,1241,88.5164,0.885164,16.3,1.0,471875,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,0.8851640513552068,0.31882385974647925,0.36018618159916516,0.01
19,NR_028664.1,1,1520,1,1321,86.9079,0.869079,15.5,0.0,28037,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,0.8690789473684211,0.3373139940906944,0.3881281385449322,0.01
20,NR_028682.1,1,1538,35,1490,96.8791,32.3596,19.3,37.9,137732,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,32.35955786736021,7.084579331468358,0.21893313130258463,0.23
21,NR_028736.1,1,1544,4,1484,96.114,3.6794,18.7,60.0,1338,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,3.6794041450777204,0.8518134616536184,0.23150853455257642,0.03
22,NR_028812.1,1,1408,1,1291,91.6903,0.916903,13.2,1.0,156456,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus,0.9169034090909091,0.2760281643028109,0.30104388484768224,0.01
23,NR_028833.1,1,1512,1,1347,89.0873,0.890873,19.5,1.0,176090,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sinensis,0.8908730158730159,0.31179846930723104,0.3499920457257114,0.01
24,NR_029097.1,1,1374,515,1326,96.5066,471.855,19.2,1.99,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,471.8551673944687,102.01391354968729,0.21619751270924228,3.31
25,NR_029207.1,1,1426,9,1414,99.1585,7.92076,17.9,0.667,907,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,7.920757363253857,1.6752562722979294,0.21150203136758275,0.06
