index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024815.1,1,1490,18,1469,98.5906,16.8275,18.0,6.44,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella shahii,16.82751677852349,3.061853609316783,0.1819551660304713,0.15
1,NR_025127.1,1,1453,2,1383,95.1824,1.7605,16.4,1.0,140626,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnobacterium,Lachnobacterium bovis,1.7604955264969029,0.5277257384976587,0.2997597724930016,0.02
2,NR_025230.1,1,1411,72,1411,100.0,67.6726,18.4,2.76,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,67.67257264351524,7.776043484697475,0.11490686966579537,0.58
3,NR_025281.1,1,1447,2,1410,97.443,1.81202,14.4,1.0,76123,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella enoeca,1.8120248790601243,0.45142082927487903,0.2491250724487986,0.02
4,NR_025514.1,1,1518,186,1508,99.3412,173.326,18.3,25.7,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,173.32608695652175,29.54850846335182,0.170479291272317,1.5
5,NR_025525.1,1,1475,8,1450,98.3051,7.14305,18.4,31.4,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,7.143050847457627,1.5157514825117588,0.2121994529902092,0.06
6,NR_025567.1,1,1498,57,1491,99.5327,53.2283,18.9,5.98,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,53.228304405874496,9.44564662948636,0.1774553357450909,0.46
7,NR_025796.1,1,1435,21,1415,98.6063,18.7666,18.2,1.81,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,18.766550522648085,4.723784759756383,0.2517130014946309,0.17
8,NR_025903.1,1,1537,1,1380,89.7853,0.897853,20.5,1.0,1379,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella haemolysans,0.8978529603122967,0.3028415789992211,0.3372952948708716,0.01
9,NR_025904.1,1,1536,1,1355,88.2161,0.882161,15.6,1.0,29391,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum,0.8821614583333334,0.32241684162670753,0.3654850691797954,0.01
