index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,25,1411,100.0,23.3544,18.3,2.56,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,23.354358610914247,2.737877823865489,0.11723198523576622,0.27
1,NR_025514.1,1,1518,1357,1510,99.473,1271.46,18.7,33.6,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,1271.4552042160738,215.64164518845337,0.16960223566933214,14.39
2,NR_025525.1,1,1475,1,1371,92.9492,0.929492,17.2,1.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.9294915254237288,0.2560020109085059,0.27542156534649614,0.01
3,NR_025567.1,1,1498,54,1459,97.3965,50.6168,18.5,8.81,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,50.61682242990654,9.297273243781584,0.18367951201710295,0.57
4,NR_025796.1,1,1435,3,1389,96.7944,2.72125,17.9,3.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.721254355400697,0.6926703074446904,0.25454081720438687,0.03
5,NR_025981.1,1,1477,16,1466,99.2552,14.4252,18.5,2.69,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,14.425186188219364,3.5392167058345674,0.24534981106344014,0.17
6,NR_026100.1,1,1499,1,1337,89.1928,0.891928,15.9,1.0,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,0.8919279519679787,0.3104713842952126,0.34809020572814037,0.01
7,NR_026106.1,1,1489,1,1111,74.6138,0.746138,16.7,6.0,29322,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.7461383478844862,0.43521938571333857,0.5832958283772828,0.01
8,NR_026409.1,1,1495,3,1467,98.1271,2.85284,20.9,3.33,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,2.8528428093645486,0.529797978825919,0.18570878741963628,0.03
9,NR_026493.1,1,1488,2,1451,97.5134,1.90255,19.4,10.0,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,1.9025537634408602,0.3710547807740757,0.19502985298192324,0.02
10,NR_026494.1,1,1499,1,1377,91.8612,0.918612,15.8,0.0,84030,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,0.9186124082721815,0.27342942716643237,0.2976548375617154,0.01
11,NR_027579.1,1,1402,1,1274,90.8702,0.908702,15.7,1.0,471875,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,0.9087018544935807,0.28803262685589776,0.31697154070013234,0.01
12,NR_028682.1,1,1538,7,1475,95.9038,6.55007,20.4,45.9,137732,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,6.550065019505852,1.458717794179071,0.22270279605394194,0.07
