index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024640.1,1,1422,5,1422,100.0,4.62166,27.3,1.0,61645,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,4.621659634317862,0.92262272281354,0.1996301752648895,0.07
1,NR_024861.1,1,1511,9,1464,96.8895,8.56982,39.8,6.67,67824,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter farmeri,8.56982131039047,1.5767133698921614,0.18398439276446488,0.13
3,NR_025518.1,1,1494,1,1439,96.3186,0.963186,37.1,50.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.963186077643909,0.188304693188595,0.19550188438065388,0.01
4,NR_025635.1,1,1412,47,1412,100.0,46.2365,36.9,18.9,244366,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella variicola,46.23654390934844,1.2456707848234165,0.026941260732326444,0.69
5,NR_025862.1,1,1406,19,1406,100.0,18.3834,37.4,60.0,46124,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella adiacens,18.383357041251777,2.145883378193288,0.11672967964327631,0.28
6,NR_026030.1,1,1466,1,1440,98.2265,0.982265,29.2,3.0,51048,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus porcinus,0.9822646657571623,0.13198784853967596,0.13437096247164235,0.01
7,NR_026032.1,1,1405,2,1396,99.3594,1.9694,39.0,1.0,749,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,unclassified Pasteurellaceae genus,[Pasteurella] aerogenes,1.9693950177935944,0.20610605321268324,0.10465450117955184,0.03
8,NR_026331.1,1,1488,359,1488,100.0,349.399,37.3,10.8,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,349.3985215053763,42.71193737807089,0.1222441846463671,5.26
9,NR_027549.1,1,1473,16,1457,98.9138,15.1059,33.9,6.0,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,15.10590631364562,2.5467094186250354,0.16859030936293548,0.23
10,NR_029097.1,1,1374,1,1281,93.2314,0.932314,37.6,1.0,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,0.9323144104803494,0.2512055940679424,0.2694430025365752,0.01
